FAPROTAX_taxa,Silva combined,Silva_Kingdom,Silva_Phylum,Silva_Class,Order,Family,Genus,methanotrophy,acetoclastic_methanogenesis,methanogenesis_by_disproportionation_of_methyl_groups,methanogenesis_using_formate,methanogenesis_by_CO2_reduction_with_H2,methanogenesis_by_reduction_of_methyl_compounds_with_H2,hydrogenotrophic_methanogenesis,methanogenesis,methanol_oxidation,methylotrophy,CH4_cyclicers,aerobic_ammonia_oxidation,aerobic_nitrite_oxidation,nitrification,anammox,nitrate_denitrification,nitrite_denitrification,nitrous_oxide_denitrification,denitrification,nitrogen_fixation,nitrate_ammonification,nitrite_ammonification,nitrite_respiration,nitrate_respiration_dissimilatory,nitrate_reduction_assimilatory_or_dissimilatory,ureolysis,N_cyclers,sulfur_reduction,sulfate_reduction,sulfite_reduction,thiosulfate_reduction,S_reduction,dark_sulfide_oxidation,dark_sulfur_oxidation,dark_sulfite_oxidation,dark_thiosulfate_oxidation,S_oxidation_dark,anoxygenic_photoautotrophy_S_oxidizing,S_cyclers,S_and_N_cyclers,arsenate_reduction_detoxification,anaerobic_arsenate_reduction,dissimilatory_arsenate_reduction,arsenite_oxidation_detoxification,arsenite_oxidation_energy_yielding,dissimilatory_arsenite_oxidation,knallgas_bacteria,dark_hydrogen_oxidation,anoxygenic_photoautotrophy_H2_oxidizing,H_oxidizing,manganese_oxidation,manganese_reduction,dark_iron_oxidation,anoxygenic_photoautotrophy_Fe_oxidizing,iron_reduction,chlorate_reducers,fermentation,human_pathogens_septicemia,human_pathogens_pneumonia,human_pathogens_nosocomia,human_pathogens_meningitis,human_pathogens_gastroenteritis,human_pathogens_diarrhea,human_pathogens_all,human_gut,human_associated,mammal_gut,plant_pathogen,oil_bioremediation,aromatic_hydrocarbon_degradation,aromatic_compound_degradation,aliphatic_non_methane_hydrocarbon_degradation,hydrocarbon_degradation,plastic_degradation,fish_parasites,intracellular_parasites,invertebrate_parasites ,predatory_or_exoparasitic,nonphotosynthetic_cyanobacteria,photosynthetic_cyanobacteria,anoxygenic_photoautotrophy,aerobic_anoxygenic_photohetertrophy,photoheterotrophy,reductive_acetogenesis,fumarate_respiration,chitinolysis,cellulolysis,xylanolysis,aerobic_chemoheterotrophy,ligninolysis,chemoheterotrophy,
Clostridium_botulinum_,Bacteria;Firmicutes;Clostridia;Clostridiales;Caloramatoraceae;Clostridium,Bacteria,Firmicutes,Clostridia,Clostridiales,Caloramatoraceae,Clostridium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
Clostridium_bowmanii_,Bacteria;Firmicutes;Clostridia;Clostridiales;Caloramatoraceae;Clostridium,Bacteria,Firmicutes,Clostridia,Clostridiales,Caloramatoraceae,Clostridium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
Clostridium_butyricum_,Bacteria;Firmicutes;Clostridia;Clostridiales;Caloramatoraceae;Clostridium,Bacteria,Firmicutes,Clostridia,Clostridiales,Caloramatoraceae,Clostridium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
Clostridium_cadaveris_,Bacteria;Firmicutes;Clostridia;Clostridiales;Caloramatoraceae;Clostridium,Bacteria,Firmicutes,Clostridia,Clostridiales,Caloramatoraceae,Clostridium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
Clostridium_caminithermale_,Bacteria;Firmicutes;Clostridia;Clostridiales;Caloramatoraceae;Clostridium,Bacteria,Firmicutes,Clostridia,Clostridiales,Caloramatoraceae,Clostridium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
Clostridium_carboxidivorans_,Bacteria;Firmicutes;Clostridia;Clostridiales;Caloramatoraceae;Clostridium,Bacteria,Firmicutes,Clostridia,Clostridiales,Caloramatoraceae,Clostridium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,
Clostridium_celatum_,Bacteria;Firmicutes;Clostridia;Clostridiales;Caloramatoraceae;Clostridium,Bacteria,Firmicutes,Clostridia,Clostridiales,Caloramatoraceae,Clostridium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
Clostridium_celerecrescens_,Bacteria;Firmicutes;Clostridia;Clostridiales;Caloramatoraceae;Clostridium,Bacteria,Firmicutes,Clostridia,Clostridiales,Caloramatoraceae,Clostridium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,
Clostridium_cellobioparum_,Bacteria;Firmicutes;Clostridia;Clostridiales;Caloramatoraceae;Clostridium,Bacteria,Firmicutes,Clostridia,Clostridiales,Caloramatoraceae,Clostridium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,
Clostridium_cellulofermentans_,Bacteria;Firmicutes;Clostridia;Clostridiales;Caloramatoraceae;Clostridium,Bacteria,Firmicutes,Clostridia,Clostridiales,Caloramatoraceae,Clostridium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,
Clostridium_cellulolyticum_,Bacteria;Firmicutes;Clostridia;Clostridiales;Caloramatoraceae;Clostridium,Bacteria,Firmicutes,Clostridia,Clostridiales,Caloramatoraceae,Clostridium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,
Clostridium_cellulosi_,Bacteria;Firmicutes;Clostridia;Clostridiales;Caloramatoraceae;Clostridium,Bacteria,Firmicutes,Clostridia,Clostridiales,Caloramatoraceae,Clostridium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,
Clostridium_cellulovorans_,Bacteria;Firmicutes;Clostridia;Clostridiales;Caloramatoraceae;Clostridium,Bacteria,Firmicutes,Clostridia,Clostridiales,Caloramatoraceae,Clostridium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,
Clostridium_chartatabidum_,Bacteria;Firmicutes;Clostridia;Clostridiales;Caloramatoraceae;Clostridium,Bacteria,Firmicutes,Clostridia,Clostridiales,Caloramatoraceae,Clostridium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,
Clostridium_chauvoei_,Bacteria;Firmicutes;Clostridia;Clostridiales;Caloramatoraceae;Clostridium,Bacteria,Firmicutes,Clostridia,Clostridiales,Caloramatoraceae,Clostridium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
Clostridium_clostridioforme_,Bacteria;Firmicutes;Clostridia;Clostridiales;Caloramatoraceae;Clostridium,Bacteria,Firmicutes,Clostridia,Clostridiales,Caloramatoraceae,Clostridium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
Clostridium_coccoides_,Bacteria;Firmicutes;Clostridia;Clostridiales;Caloramatoraceae;Clostridium,Bacteria,Firmicutes,Clostridia,Clostridiales,Caloramatoraceae,Clostridium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
Clostridium_cochlearium_,Bacteria;Firmicutes;Clostridia;Clostridiales;Caloramatoraceae;Clostridium,Bacteria,Firmicutes,Clostridia,Clostridiales,Caloramatoraceae,Clostridium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
Clostridium_colicanis_,Bacteria;Firmicutes;Clostridia;Clostridiales;Caloramatoraceae;Clostridium,Bacteria,Firmicutes,Clostridia,Clostridiales,Caloramatoraceae,Clostridium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Clostridium_collagenovorans_,Bacteria;Firmicutes;Clostridia;Clostridiales;Caloramatoraceae;Clostridium,Bacteria,Firmicutes,Clostridia,Clostridiales,Caloramatoraceae,Clostridium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
Clostridium_cylindrosporum_,Bacteria;Firmicutes;Clostridia;Clostridiales;Caloramatoraceae;Clostridium,Bacteria,Firmicutes,Clostridia,Clostridiales,Caloramatoraceae,Clostridium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
Clostridium_difficile_,Bacteria;Firmicutes;Clostridia;Clostridiales;Caloramatoraceae;Clostridium,Bacteria,Firmicutes,Clostridia,Clostridiales,Caloramatoraceae,Clostridium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
Clostridium_diolis_,Bacteria;Firmicutes;Clostridia;Clostridiales;Caloramatoraceae;Clostridium,Bacteria,Firmicutes,Clostridia,Clostridiales,Caloramatoraceae,Clostridium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
Clostridium_disporicum_,Bacteria;Firmicutes;Clostridia;Clostridiales;Caloramatoraceae;Clostridium,Bacteria,Firmicutes,Clostridia,Clostridiales,Caloramatoraceae,Clostridium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
Clostridium_drakei_,Bacteria;Firmicutes;Clostridia;Clostridiales;Caloramatoraceae;Clostridium,Bacteria,Firmicutes,Clostridia,Clostridiales,Caloramatoraceae,Clostridium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,
Clostridium_DY192_,Bacteria;Firmicutes;Clostridia;Clostridiales;Caloramatoraceae;Clostridium,Bacteria,Firmicutes,Clostridia,Clostridiales,Caloramatoraceae,Clostridium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Clostridium_estertheticum_,Bacteria;Firmicutes;Clostridia;Clostridiales;Caloramatoraceae;Clostridium,Bacteria,Firmicutes,Clostridia,Clostridiales,Caloramatoraceae,Clostridium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
Clostridium_estertheticum_laramiense,Bacteria;Firmicutes;Clostridia;Clostridiales;Caloramatoraceae;Clostridium,Bacteria,Firmicutes,Clostridia,Clostridiales,Caloramatoraceae,Clostridium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Clostridium_felsineum_,Bacteria;Firmicutes;Clostridia;Clostridiales;Caloramatoraceae;Clostridium,Bacteria,Firmicutes,Clostridia,Clostridiales,Caloramatoraceae,Clostridium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Clostridium_fimetarium_,Bacteria;Firmicutes;Clostridia;Clostridiales;Caloramatoraceae;Clostridium,Bacteria,Firmicutes,Clostridia,Clostridiales,Caloramatoraceae,Clostridium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
Clostridium_formicaceticum_,Bacteria;Firmicutes;Clostridia;Clostridiales;Caloramatoraceae;Clostridium,Bacteria,Firmicutes,Clostridia,Clostridiales,Caloramatoraceae,Clostridium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
Clostridium_formicoaceticum_,Bacteria;Firmicutes;Clostridia;Clostridiales;Caloramatoraceae;Clostridium,Bacteria,Firmicutes,Clostridia,Clostridiales,Caloramatoraceae,Clostridium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,
Clostridium_frigidicarnis_,Bacteria;Firmicutes;Clostridia;Clostridiales;Caloramatoraceae;Clostridium,Bacteria,Firmicutes,Clostridia,Clostridiales,Caloramatoraceae,Clostridium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
Clostridium_frigoris_,Bacteria;Firmicutes;Clostridia;Clostridiales;Caloramatoraceae;Clostridium,Bacteria,Firmicutes,Clostridia,Clostridiales,Caloramatoraceae,Clostridium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
Clostridium_ganghwense_,Bacteria;Firmicutes;Clostridia;Clostridiales;Caloramatoraceae;Clostridium,Bacteria,Firmicutes,Clostridia,Clostridiales,Caloramatoraceae,Clostridium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
Clostridium_gasigenes_,Bacteria;Firmicutes;Clostridia;Clostridiales;Caloramatoraceae;Clostridium,Bacteria,Firmicutes,Clostridia,Clostridiales,Caloramatoraceae,Clostridium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
Clostridium_ghoni_,Bacteria;Firmicutes;Clostridia;Clostridiales;Caloramatoraceae;Clostridium,Bacteria,Firmicutes,Clostridia,Clostridiales,Caloramatoraceae,Clostridium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
Clostridium_glycolicum_,Bacteria;Firmicutes;Clostridia;Clostridiales;Caloramatoraceae;Clostridium,Bacteria,Firmicutes,Clostridia,Clostridiales,Caloramatoraceae,Clostridium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,
Clostridium_grantii_,Bacteria;Firmicutes;Clostridia;Clostridiales;Caloramatoraceae;Clostridium,Bacteria,Firmicutes,Clostridia,Clostridiales,Caloramatoraceae,Clostridium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
Clostridium_haemolyticum_,Bacteria;Firmicutes;Clostridia;Clostridiales;Caloramatoraceae;Clostridium,Bacteria,Firmicutes,Clostridia,Clostridiales,Caloramatoraceae,Clostridium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
Clostridium_halophilum_,Bacteria;Firmicutes;Clostridia;Clostridiales;Caloramatoraceae;Clostridium,Bacteria,Firmicutes,Clostridia,Clostridiales,Caloramatoraceae,Clostridium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
Clostridium_hathewayi_,Bacteria;Firmicutes;Clostridia;Clostridiales;Caloramatoraceae;Clostridium,Bacteria,Firmicutes,Clostridia,Clostridiales,Caloramatoraceae,Clostridium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
Clostridium_herbivorans_,Bacteria;Firmicutes;Clostridia;Clostridiales;Caloramatoraceae;Clostridium,Bacteria,Firmicutes,Clostridia,Clostridiales,Caloramatoraceae,Clostridium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,
Clostridium_histolyticum_,Bacteria;Firmicutes;Clostridia;Clostridiales;Caloramatoraceae;Clostridium,Bacteria,Firmicutes,Clostridia,Clostridiales,Caloramatoraceae,Clostridium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
Clostridium_homopropionicum_,Bacteria;Firmicutes;Clostridia;Clostridiales;Caloramatoraceae;Clostridium,Bacteria,Firmicutes,Clostridia,Clostridiales,Caloramatoraceae,Clostridium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
